Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class
0.079,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49834,7,561,1,.AP.SF,0,normal
0.079,TCP  ,OPENSTACK_NET,49834,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.065,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49836,7,702,1,.AP.SF,0,normal
0.065,TCP  ,OPENSTACK_NET,49836,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
1.558,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49837,7,1726,1,.AP.SF,0,normal
1.558,TCP  ,OPENSTACK_NET,49837,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.041,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49838,7,639,1,.AP.SF,0,normal
0.041,TCP  ,OPENSTACK_NET,49838,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.065,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62900,7,561,1,.AP.SF,0,normal
0.065,TCP  ,OPENSTACK_NET,62900,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.049,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62901,7,556,1,.AP.SF,0,normal
0.049,TCP  ,OPENSTACK_NET,62901,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.064,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62902,7,702,1,.AP.SF,0,normal
0.064,TCP  ,OPENSTACK_NET,62902,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.074,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62903,7,1726,1,.AP.SF,0,normal
0.074,TCP  ,OPENSTACK_NET,62903,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.048,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62904,7,639,1,.AP.SF,0,normal
0.048,TCP  ,OPENSTACK_NET,62904,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.047,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49887,7,556,1,.AP.SF,0,normal
0.047,TCP  ,OPENSTACK_NET,49887,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.058,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49888,7,702,1,.AP.SF,0,normal
0.058,TCP  ,OPENSTACK_NET,49888,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.054,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62953,7,556,1,.AP.SF,0,normal
0.054,TCP  ,OPENSTACK_NET,62953,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.068,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62954,7,702,1,.AP.SF,0,normal
0.068,TCP  ,OPENSTACK_NET,62954,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
119.99,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49889,7,561,1,.AP.SF,0,normal
119.99,TCP  ,OPENSTACK_NET,49889,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.077,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49922,7,1726,1,.AP.SF,0,normal
0.077,TCP  ,OPENSTACK_NET,49922,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.048,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49939,7,556,1,.AP.SF,0,normal
0.048,TCP  ,OPENSTACK_NET,49939,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.061,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49940,7,702,1,.AP.SF,0,normal
0.061,TCP  ,OPENSTACK_NET,49940,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
1.836,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49941,7,639,1,.AP.SF,0,normal
1.836,TCP  ,OPENSTACK_NET,49941,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.053,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62987,7,561,1,.AP.SF,0,normal
0.053,TCP  ,OPENSTACK_NET,62987,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.066,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62988,7,1726,1,.AP.SF,0,normal
0.066,TCP  ,OPENSTACK_NET,62988,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.077,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63005,7,702,1,.AP.SF,0,normal
0.077,TCP  ,OPENSTACK_NET,63005,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.054,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63006,7,556,1,.AP.SF,0,normal
0.054,TCP  ,OPENSTACK_NET,63006,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.046,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63007,7,639,1,.AP.SF,0,normal
0.046,TCP  ,OPENSTACK_NET,63007,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.048,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49988,7,556,1,.AP.SF,0,normal
0.048,TCP  ,OPENSTACK_NET,49988,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.07,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49989,7,702,1,.AP.SF,0,normal
0.07,TCP  ,OPENSTACK_NET,49989,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
60.008,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49990,7,561,1,.AP.SF,0,normal
60.008,TCP  ,OPENSTACK_NET,49990,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.066,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50007,7,1726,1,.AP.SF,0,normal
0.066,TCP  ,OPENSTACK_NET,50007,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.043,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63056,7,556,1,.AP.SF,0,normal
0.043,TCP  ,OPENSTACK_NET,63056,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.052,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63057,7,702,1,.AP.SF,0,normal
0.052,TCP  ,OPENSTACK_NET,63057,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.056,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63076,7,561,1,.AP.SF,0,normal
0.056,TCP  ,OPENSTACK_NET,63076,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.065,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63077,7,1726,1,.AP.SF,0,normal
0.065,TCP  ,OPENSTACK_NET,63077,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.047,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50040,7,556,1,.AP.SF,0,normal
0.047,TCP  ,OPENSTACK_NET,50040,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.056,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50041,7,702,1,.AP.SF,0,normal
0.056,TCP  ,OPENSTACK_NET,50041,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
1.395,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50042,7,639,1,.AP.SF,0,normal
1.395,TCP  ,OPENSTACK_NET,50042,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.057,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63110,7,556,1,.AP.SF,0,normal
0.057,TCP  ,OPENSTACK_NET,63110,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.073,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63111,7,702,1,.AP.SF,0,normal
0.073,TCP  ,OPENSTACK_NET,63111,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.052,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63112,7,639,1,.AP.SF,0,normal
0.052,TCP  ,OPENSTACK_NET,63112,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.05,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50091,7,556,1,.AP.SF,0,normal
0.05,TCP  ,OPENSTACK_NET,50091,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.067,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50092,7,561,1,.AP.SF,0,normal
0.067,TCP  ,OPENSTACK_NET,50092,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.054,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50093,7,702,1,.AP.SF,0,normal
0.054,TCP  ,OPENSTACK_NET,50093,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
1.256,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50094,7,1726,1,.AP.SF,0,normal
1.256,TCP  ,OPENSTACK_NET,50094,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.073,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63163,7,561,1,.AP.SF,0,normal
0.073,TCP  ,OPENSTACK_NET,63163,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.06,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63164,7,556,1,.AP.SF,0,normal
0.06,TCP  ,OPENSTACK_NET,63164,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.08,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63165,7,702,1,.AP.SF,0,normal
0.08,TCP  ,OPENSTACK_NET,63165,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.069,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63166,7,1726,1,.AP.SF,0,normal
0.069,TCP  ,OPENSTACK_NET,63166,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.049,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50144,7,556,1,.AP.SF,0,normal
0.049,TCP  ,OPENSTACK_NET,50144,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.058,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50145,7,702,1,.AP.SF,0,normal
0.058,TCP  ,OPENSTACK_NET,50145,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
1.568,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50146,7,639,1,.AP.SF,0,normal
1.568,TCP  ,OPENSTACK_NET,50146,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.071,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63215,7,702,1,.AP.SF,0,normal
0.071,TCP  ,OPENSTACK_NET,63215,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.05,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63216,7,556,1,.AP.SF,0,normal
0.05,TCP  ,OPENSTACK_NET,63216,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.056,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63217,7,639,1,.AP.SF,0,normal
0.056,TCP  ,OPENSTACK_NET,63217,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.064,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50179,7,561,1,.AP.SF,0,normal
0.064,TCP  ,OPENSTACK_NET,50179,EXT_SERVER,8000,5,543,1,.AP.SF,0,normal
0.063,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50180,7,1726,1,.AP.SF,0,normal
0.063,TCP  ,OPENSTACK_NET,50180,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.049,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50197,7,556,1,.AP.SF,0,normal
0.049,TCP  ,OPENSTACK_NET,50197,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.06,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50198,7,702,1,.AP.SF,0,normal
0.06,TCP  ,OPENSTACK_NET,50198,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.071,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63250,7,561,1,.AP.SF,0,normal
0.071,TCP  ,OPENSTACK_NET,63250,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.067,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63253,7,1726,1,.AP.SF,0,normal
0.067,TCP  ,OPENSTACK_NET,63253,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.073,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63268,7,702,1,.AP.SF,0,normal
0.073,TCP  ,OPENSTACK_NET,63268,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.049,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63269,7,556,1,.AP.SF,0,normal
0.049,TCP  ,OPENSTACK_NET,63269,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
135.064,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50199,2,92,1,.A..SF,0,normal
135.064,TCP  ,OPENSTACK_NET,50199,EXT_SERVER,8000,4,190,1,.A..SF,0,normal
0.048,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50246,7,556,1,.AP.SF,0,normal
0.048,TCP  ,OPENSTACK_NET,50246,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.062,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50247,7,702,1,.AP.SF,0,normal
0.062,TCP  ,OPENSTACK_NET,50247,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
1.214,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50248,7,639,1,.AP.SF,0,normal
1.214,TCP  ,OPENSTACK_NET,50248,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.067,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50265,7,561,1,.AP.SF,0,normal
0.067,TCP  ,OPENSTACK_NET,50265,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.065,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50266,7,1726,1,.AP.SF,0,normal
0.065,TCP  ,OPENSTACK_NET,50266,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.073,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63320,7,702,1,.AP.SF,0,normal
0.073,TCP  ,OPENSTACK_NET,63320,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.062,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63321,7,556,1,.AP.SF,0,normal
0.062,TCP  ,OPENSTACK_NET,63321,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.047,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63322,7,639,1,.AP.SF,0,normal
0.047,TCP  ,OPENSTACK_NET,63322,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.067,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63341,7,561,1,.AP.SF,0,normal
0.067,TCP  ,OPENSTACK_NET,63341,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.075,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63342,7,1726,1,.AP.SF,0,normal
0.075,TCP  ,OPENSTACK_NET,63342,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.049,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50299,7,556,1,.AP.SF,0,normal
0.049,TCP  ,OPENSTACK_NET,50299,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.061,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50300,7,702,1,.AP.SF,0,normal
0.061,TCP  ,OPENSTACK_NET,50300,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.09,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63375,7,702,1,.AP.SF,0,normal
0.09,TCP  ,OPENSTACK_NET,63375,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.055,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63376,7,556,1,.AP.SF,0,normal
0.055,TCP  ,OPENSTACK_NET,63376,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
135.077,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50301,3,132,1,.A..SF,0,normal
135.077,TCP  ,OPENSTACK_NET,50301,EXT_SERVER,8000,4,190,1,.A..SF,0,normal
0.071,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50351,7,561,1,.AP.SF,0,normal
0.071,TCP  ,OPENSTACK_NET,50351,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.049,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50350,7,556,1,.AP.SF,0,normal
0.049,TCP  ,OPENSTACK_NET,50350,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.054,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50352,7,702,1,.AP.SF,0,normal
0.054,TCP  ,OPENSTACK_NET,50352,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
1.143,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50353,7,1726,1,.AP.SF,0,normal
1.143,TCP  ,OPENSTACK_NET,50353,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.05,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50354,7,639,1,.AP.SF,0,normal
0.05,TCP  ,OPENSTACK_NET,50354,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.071,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63427,7,561,1,.AP.SF,0,normal
0.071,TCP  ,OPENSTACK_NET,63427,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.078,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63429,7,702,1,.AP.SF,0,normal
0.078,TCP  ,OPENSTACK_NET,63429,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.06,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63428,7,556,1,.AP.SF,0,normal
0.06,TCP  ,OPENSTACK_NET,63428,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.067,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63430,7,1726,1,.AP.SF,0,normal
0.067,TCP  ,OPENSTACK_NET,63430,EXT_SERVER,8000,5,533,1,.AP.SF,0,normal
0.059,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63431,7,639,1,.AP.SF,0,normal
0.059,TCP  ,OPENSTACK_NET,63431,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.058,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50403,7,556,1,.AP.SF,0,normal
0.058,TCP  ,OPENSTACK_NET,50403,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.069,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50404,7,702,1,.AP.SF,0,normal
0.069,TCP  ,OPENSTACK_NET,50404,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.082,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63480,7,702,1,.AP.SF,0,normal
0.082,TCP  ,OPENSTACK_NET,63480,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.062,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63481,7,556,1,.AP.SF,0,normal
0.062,TCP  ,OPENSTACK_NET,63481,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.063,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50437,7,561,1,.AP.SF,0,normal
0.063,TCP  ,OPENSTACK_NET,50437,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.067,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50438,7,1726,1,.AP.SF,0,normal
0.067,TCP  ,OPENSTACK_NET,50438,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.048,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50455,7,556,1,.AP.SF,0,normal
0.048,TCP  ,OPENSTACK_NET,50455,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.061,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50456,7,702,1,.AP.SF,0,normal
0.061,TCP  ,OPENSTACK_NET,50456,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.053,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50457,7,639,1,.AP.SF,0,normal
0.053,TCP  ,OPENSTACK_NET,50457,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.06,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63516,7,561,1,.AP.SF,0,normal
0.06,TCP  ,OPENSTACK_NET,63516,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.061,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63517,7,1726,1,.AP.SF,0,normal
0.061,TCP  ,OPENSTACK_NET,63517,EXT_SERVER,8000,5,533,1,.AP.SF,0,normal
0.073,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63532,7,702,1,.AP.SF,0,normal
0.073,TCP  ,OPENSTACK_NET,63532,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.052,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63533,7,556,1,.AP.SF,0,normal
0.052,TCP  ,OPENSTACK_NET,63533,EXT_SERVER,8000,5,469,1,.AP.SF,0,normal
0.052,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63534,7,639,1,.AP.SF,0,normal
0.052,TCP  ,OPENSTACK_NET,63534,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.047,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50506,7,556,1,.AP.SF,0,normal
0.047,TCP  ,OPENSTACK_NET,50506,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.063,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50507,7,702,1,.AP.SF,0,normal
0.063,TCP  ,OPENSTACK_NET,50507,EXT_SERVER,8000,5,540,1,.AP.SF,0,normal
0.067,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50522,7,561,1,.AP.SF,0,normal
0.067,TCP  ,OPENSTACK_NET,50522,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.067,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50523,7,1726,1,.AP.SF,0,normal
0.067,TCP  ,OPENSTACK_NET,50523,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.039,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63584,7,556,1,.AP.SF,0,normal
0.039,TCP  ,OPENSTACK_NET,63584,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.07,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63585,7,702,1,.AP.SF,0,normal
0.07,TCP  ,OPENSTACK_NET,63585,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.061,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63605,7,561,1,.AP.SF,0,normal
0.061,TCP  ,OPENSTACK_NET,63605,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.075,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63606,7,1726,1,.AP.SF,0,normal
0.075,TCP  ,OPENSTACK_NET,63606,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.048,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50556,7,556,1,.AP.SF,0,normal
0.048,TCP  ,OPENSTACK_NET,50556,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.068,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50557,7,702,1,.AP.SF,0,normal
0.068,TCP  ,OPENSTACK_NET,50557,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.057,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50558,7,639,1,.AP.SF,0,normal
0.057,TCP  ,OPENSTACK_NET,50558,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.06,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63639,7,702,1,.AP.SF,0,normal
0.06,TCP  ,OPENSTACK_NET,63639,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
0.047,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63640,7,556,1,.AP.SF,0,normal
0.047,TCP  ,OPENSTACK_NET,63640,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.048,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63641,7,639,1,.AP.SF,0,normal
0.048,TCP  ,OPENSTACK_NET,63641,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
0.066,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50607,7,561,1,.AP.SF,0,normal
0.066,TCP  ,OPENSTACK_NET,50607,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
0.048,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50608,7,556,1,.AP.SF,0,normal
0.048,TCP  ,OPENSTACK_NET,50608,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
0.049,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50609,7,702,1,.AP.SF,0,normal
0.049,TCP  ,OPENSTACK_NET,50609,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
1.406,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50610,7,1726,1,.AP.SF,0,normal
1.406,TCP  ,OPENSTACK_NET,50610,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
0.066,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63692,7,561,1,.AP.SF,0,normal
0.066,TCP  ,OPENSTACK_NET,63692,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
